model,cond,pair,layer,variant,metric,value
en-ar-fair,fair,en-ar,0,raw,dprime_a2b,3.0699107724846475
en-ar-fair,fair,en-ar,0,raw,dprime_b2a,3.0028220739893667
en-ar-fair,fair,en-ar,0,raw,dprime_sym,3.0363664232370073
en-ar-fair,fair,en-ar,0,raw,asymmetry,0.06708869849528076
en-ar-fair,fair,en-ar,1,raw,dprime_a2b,1.9771016112648383
en-ar-fair,fair,en-ar,1,raw,dprime_b2a,2.1346463749392504
en-ar-fair,fair,en-ar,1,raw,dprime_sym,2.055873993102044
en-ar-fair,fair,en-ar,1,raw,asymmetry,-0.15754476367441206
en-ar-fair,fair,en-ar,2,raw,dprime_a2b,2.167051874194625
en-ar-fair,fair,en-ar,2,raw,dprime_b2a,2.267753300776329
en-ar-fair,fair,en-ar,2,raw,dprime_sym,2.217402587485477
en-ar-fair,fair,en-ar,2,raw,asymmetry,-0.10070142658170411
en-ar-fair,fair,en-ar,3,raw,dprime_a2b,2.12336414915715
en-ar-fair,fair,en-ar,3,raw,dprime_b2a,2.166409771001603
en-ar-fair,fair,en-ar,3,raw,dprime_sym,2.1448869600793765
en-ar-fair,fair,en-ar,3,raw,asymmetry,-0.0430456218444526
en-ar-fair,fair,en-ar,4,raw,dprime_a2b,1.9560319205846455
en-ar-fair,fair,en-ar,4,raw,dprime_b2a,2.1389248858754826
en-ar-fair,fair,en-ar,4,raw,dprime_sym,2.0474784032300644
en-ar-fair,fair,en-ar,4,raw,asymmetry,-0.1828929652908371
en-ar-fair,fair,en-ar,5,raw,dprime_a2b,1.2612836693927671
en-ar-fair,fair,en-ar,5,raw,dprime_b2a,1.2778377524508187
en-ar-fair,fair,en-ar,5,raw,dprime_sym,1.2695607109217928
en-ar-fair,fair,en-ar,5,raw,asymmetry,-0.016554083058051505
en-ar-fair,fair,en-ar,6,raw,dprime_a2b,1.5676837115449025
en-ar-fair,fair,en-ar,6,raw,dprime_b2a,1.545134026636074
en-ar-fair,fair,en-ar,6,raw,dprime_sym,1.5564088690904883
en-ar-fair,fair,en-ar,6,raw,asymmetry,0.02254968490882847
en-ar-fair,fair,en-ar,7,raw,dprime_a2b,2.234778518961073
en-ar-fair,fair,en-ar,7,raw,dprime_b2a,2.124671724948066
en-ar-fair,fair,en-ar,7,raw,dprime_sym,2.1797251219545695
en-ar-fair,fair,en-ar,7,raw,asymmetry,0.11010679401300694
en-ar-fair,fair,en-ar,8,raw,dprime_a2b,1.9685886069555638
en-ar-fair,fair,en-ar,8,raw,dprime_b2a,1.8454734441835519
en-ar-fair,fair,en-ar,8,raw,dprime_sym,1.9070310255695582
en-ar-fair,fair,en-ar,8,raw,asymmetry,0.12311516277201195
en-ar-fair,fair,en-ar,9,raw,dprime_a2b,2.334268560452516
en-ar-fair,fair,en-ar,9,raw,dprime_b2a,2.208021986767308
en-ar-fair,fair,en-ar,9,raw,dprime_sym,2.2711452736099123
en-ar-fair,fair,en-ar,9,raw,asymmetry,0.1262465736852083
en-ar-fair,fair,en-ar,10,raw,dprime_a2b,2.6579618199670514
en-ar-fair,fair,en-ar,10,raw,dprime_b2a,2.5076981042952013
en-ar-fair,fair,en-ar,10,raw,dprime_sym,2.5828299621311266
en-ar-fair,fair,en-ar,10,raw,asymmetry,0.15026371567185004
en-ar-fair,fair,en-ar,11,raw,dprime_a2b,3.028209237108124
en-ar-fair,fair,en-ar,11,raw,dprime_b2a,2.8531862881024903
en-ar-fair,fair,en-ar,11,raw,dprime_sym,2.940697762605308
en-ar-fair,fair,en-ar,11,raw,asymmetry,0.17502294900563387
en-ar-fair,fair,en-ar,12,raw,dprime_a2b,3.299297205970381
en-ar-fair,fair,en-ar,12,raw,dprime_b2a,2.9860444065273053
en-ar-fair,fair,en-ar,12,raw,dprime_sym,3.1426708062488427
en-ar-fair,fair,en-ar,12,raw,asymmetry,0.3132527994430756
en-ar-fair,fair,en-ar,13,raw,dprime_a2b,3.555699922496661
en-ar-fair,fair,en-ar,13,raw,dprime_b2a,3.1981508643451453
en-ar-fair,fair,en-ar,13,raw,dprime_sym,3.3769253934209034
en-ar-fair,fair,en-ar,13,raw,asymmetry,0.3575490581515157
en-ar-fair,fair,en-ar,14,raw,dprime_a2b,3.703008312140058
en-ar-fair,fair,en-ar,14,raw,dprime_b2a,3.085799799478778
en-ar-fair,fair,en-ar,14,raw,dprime_sym,3.3944040558094177
en-ar-fair,fair,en-ar,14,raw,asymmetry,0.6172085126612799
en-ar-fair,fair,en-ar,15,raw,dprime_a2b,3.81363955650598
en-ar-fair,fair,en-ar,15,raw,dprime_b2a,3.0638878587342075
en-ar-fair,fair,en-ar,15,raw,dprime_sym,3.4387637076200943
en-ar-fair,fair,en-ar,15,raw,asymmetry,0.7497516977717726
en-ar-fair,fair,en-ar,16,raw,dprime_a2b,3.194923179248341
en-ar-fair,fair,en-ar,16,raw,dprime_b2a,2.608590456680877
en-ar-fair,fair,en-ar,16,raw,dprime_sym,2.901756817964609
en-ar-fair,fair,en-ar,16,raw,asymmetry,0.5863327225674637
en-ar-fair,fair,en-ar,0,centered,dprime_a2b,3.253476860522244
en-ar-fair,fair,en-ar,0,centered,dprime_b2a,3.2606469545942773
en-ar-fair,fair,en-ar,0,centered,dprime_sym,3.257061907558261
en-ar-fair,fair,en-ar,0,centered,asymmetry,-0.007170094072033173
en-ar-fair,fair,en-ar,1,centered,dprime_a2b,4.574787352173355
en-ar-fair,fair,en-ar,1,centered,dprime_b2a,4.552134105871997
en-ar-fair,fair,en-ar,1,centered,dprime_sym,4.563460729022676
en-ar-fair,fair,en-ar,1,centered,asymmetry,0.02265324630135801
en-ar-fair,fair,en-ar,2,centered,dprime_a2b,4.5859400113744755
en-ar-fair,fair,en-ar,2,centered,dprime_b2a,4.550726651006175
en-ar-fair,fair,en-ar,2,centered,dprime_sym,4.568333331190326
en-ar-fair,fair,en-ar,2,centered,asymmetry,0.03521336036830025
en-ar-fair,fair,en-ar,3,centered,dprime_a2b,4.615208857470066
en-ar-fair,fair,en-ar,3,centered,dprime_b2a,4.580096805489651
en-ar-fair,fair,en-ar,3,centered,dprime_sym,4.5976528314798575
en-ar-fair,fair,en-ar,3,centered,asymmetry,0.03511205198041445
en-ar-fair,fair,en-ar,4,centered,dprime_a2b,4.175118441532287
en-ar-fair,fair,en-ar,4,centered,dprime_b2a,4.150810782055931
en-ar-fair,fair,en-ar,4,centered,dprime_sym,4.162964611794108
en-ar-fair,fair,en-ar,4,centered,asymmetry,0.024307659476355603
en-ar-fair,fair,en-ar,5,centered,dprime_a2b,2.570206598295547
en-ar-fair,fair,en-ar,5,centered,dprime_b2a,2.5403181734046036
en-ar-fair,fair,en-ar,5,centered,dprime_sym,2.5552623858500754
en-ar-fair,fair,en-ar,5,centered,asymmetry,0.029888424890943455
en-ar-fair,fair,en-ar,6,centered,dprime_a2b,3.19176699233981
en-ar-fair,fair,en-ar,6,centered,dprime_b2a,3.1879738287926638
en-ar-fair,fair,en-ar,6,centered,dprime_sym,3.189870410566237
en-ar-fair,fair,en-ar,6,centered,asymmetry,0.0037931635471464276
en-ar-fair,fair,en-ar,7,centered,dprime_a2b,4.344076181550465
en-ar-fair,fair,en-ar,7,centered,dprime_b2a,4.342925777777837
en-ar-fair,fair,en-ar,7,centered,dprime_sym,4.34350097966415
en-ar-fair,fair,en-ar,7,centered,asymmetry,0.0011504037726277616
en-ar-fair,fair,en-ar,8,centered,dprime_a2b,4.81571719418593
en-ar-fair,fair,en-ar,8,centered,dprime_b2a,4.811549093037932
en-ar-fair,fair,en-ar,8,centered,dprime_sym,4.8136331436119315
en-ar-fair,fair,en-ar,8,centered,asymmetry,0.004168101147997483
en-ar-fair,fair,en-ar,9,centered,dprime_a2b,5.449185809228962
en-ar-fair,fair,en-ar,9,centered,dprime_b2a,5.438898435112772
en-ar-fair,fair,en-ar,9,centered,dprime_sym,5.444042122170866
en-ar-fair,fair,en-ar,9,centered,asymmetry,0.010287374116190406
en-ar-fair,fair,en-ar,10,centered,dprime_a2b,5.905492317409219
