pair,rule,n,mean_gap_fair_minus_starved
en-ar,hungarian,1000,0.17206250000000003
en-ar,hungarian,2009,0.19222872075659533
en-ar,mexa_mutual,1000,0.2903125
en-ar,mexa_mutual,2009,0.279772274763564
en-de,hungarian,1000,0.0017249999999999696
en-de,hungarian,2009,0.01039074166251866
en-de,mexa_mutual,1000,0.17912499999999998
en-de,mexa_mutual,2009,0.18491786958685913
en-fr,hungarian,1000,-0.00026249999999998497
en-fr,hungarian,2009,0.0044176207068193155
en-fr,mexa_mutual,1000,0.0722875
en-fr,mexa_mutual,2009,0.07786834245893481
en-zh,hungarian,1000,0.06430000000000001
en-zh,hungarian,2009,0.06996640119462419
en-zh,mexa_mutual,1000,0.1994875
en-zh,mexa_mutual,2009,0.19782852165256348
