model,cond,pair,layer,n,seed,metric,value
en-ar-fair,fair,en-ar,0,2009,,top1_a2b,0.3867595818815331
en-ar-fair,fair,en-ar,0,2009,,top1_b2a,0.40169238427078147
en-ar-fair,fair,en-ar,0,2009,,mexa_mutual,0.3086112493777999
en-ar-fair,fair,en-ar,0,2009,,hungarian,0.4843205574912892
en-ar-fair,fair,en-ar,0,1000,0.0,top1_a2b,0.431
en-ar-fair,fair,en-ar,0,1000,0.0,top1_b2a,0.44
en-ar-fair,fair,en-ar,0,1000,0.0,mexa_mutual,0.343
en-ar-fair,fair,en-ar,0,1000,0.0,hungarian,0.562
en-ar-fair,fair,en-ar,0,1000,1.0,top1_a2b,0.436
en-ar-fair,fair,en-ar,0,1000,1.0,top1_b2a,0.459
en-ar-fair,fair,en-ar,0,1000,1.0,mexa_mutual,0.362
en-ar-fair,fair,en-ar,0,1000,1.0,hungarian,0.566
en-ar-fair,fair,en-ar,0,1000,2.0,top1_a2b,0.448
en-ar-fair,fair,en-ar,0,1000,2.0,top1_b2a,0.451
en-ar-fair,fair,en-ar,0,1000,2.0,mexa_mutual,0.355
en-ar-fair,fair,en-ar,0,1000,2.0,hungarian,0.566
en-ar-fair,fair,en-ar,0,1000,3.0,top1_a2b,0.45
en-ar-fair,fair,en-ar,0,1000,3.0,top1_b2a,0.456
en-ar-fair,fair,en-ar,0,1000,3.0,mexa_mutual,0.362
en-ar-fair,fair,en-ar,0,1000,3.0,hungarian,0.554
en-ar-fair,fair,en-ar,0,1000,4.0,top1_a2b,0.431
en-ar-fair,fair,en-ar,0,1000,4.0,top1_b2a,0.446
en-ar-fair,fair,en-ar,0,1000,4.0,mexa_mutual,0.345
en-ar-fair,fair,en-ar,0,1000,4.0,hungarian,0.549
en-ar-fair,fair,en-ar,1,2009,,top1_a2b,0.40816326530612246
en-ar-fair,fair,en-ar,1,2009,,top1_b2a,0.47834743653558986
en-ar-fair,fair,en-ar,1,2009,,mexa_mutual,0.27177700348432055
en-ar-fair,fair,en-ar,1,2009,,hungarian,0.8815331010452961
en-ar-fair,fair,en-ar,1,1000,0.0,top1_a2b,0.454
en-ar-fair,fair,en-ar,1,1000,0.0,top1_b2a,0.494
en-ar-fair,fair,en-ar,1,1000,0.0,mexa_mutual,0.3
en-ar-fair,fair,en-ar,1,1000,0.0,hungarian,0.916
en-ar-fair,fair,en-ar,1,1000,1.0,top1_a2b,0.438
en-ar-fair,fair,en-ar,1,1000,1.0,top1_b2a,0.503
en-ar-fair,fair,en-ar,1,1000,1.0,mexa_mutual,0.283
en-ar-fair,fair,en-ar,1,1000,1.0,hungarian,0.903
en-ar-fair,fair,en-ar,1,1000,2.0,top1_a2b,0.433
en-ar-fair,fair,en-ar,1,1000,2.0,top1_b2a,0.525
en-ar-fair,fair,en-ar,1,1000,2.0,mexa_mutual,0.296
en-ar-fair,fair,en-ar,1,1000,2.0,hungarian,0.905
en-ar-fair,fair,en-ar,1,1000,3.0,top1_a2b,0.454
en-ar-fair,fair,en-ar,1,1000,3.0,top1_b2a,0.525
en-ar-fair,fair,en-ar,1,1000,3.0,mexa_mutual,0.309
en-ar-fair,fair,en-ar,1,1000,3.0,hungarian,0.887
en-ar-fair,fair,en-ar,1,1000,4.0,top1_a2b,0.455
en-ar-fair,fair,en-ar,1,1000,4.0,top1_b2a,0.517
en-ar-fair,fair,en-ar,1,1000,4.0,mexa_mutual,0.311
en-ar-fair,fair,en-ar,1,1000,4.0,hungarian,0.917
en-ar-fair,fair,en-ar,2,2009,,top1_a2b,0.44947735191637633
en-ar-fair,fair,en-ar,2,2009,,top1_b2a,0.5380786460925834
en-ar-fair,fair,en-ar,2,2009,,mexa_mutual,0.30761572921851665
en-ar-fair,fair,en-ar,2,2009,,hungarian,0.9352911896465903
