model,tok,train_langs,n_sentences,pair,a,b,same_script,trained_pair,n_trained_in_pair,variant,layer,is_ref_layer,top1_a2b,top1_b2a,mutual_nn,cosine_matched,cosine_nonmatched,cosine_margin,dprime
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,raw,0,0,0.195122,0.167745,0.127924,0.275012,0.136047,0.138965,2.12471
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,raw,1,0,0.2001,0.143355,0.12892,0.45145,0.363751,0.087699,2.01252
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,raw,2,0,0.114983,0.171727,0.102041,0.768909,0.726564,0.042345,1.18849
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,raw,3,0,0.130413,0.158288,0.102041,0.884741,0.861487,0.0232538,1.22751
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,raw,4,0,0.132404,0.145346,0.099552,0.931168,0.917349,0.0138189,1.26466
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,raw,5,0,0.123942,0.168741,0.104032,0.927822,0.912975,0.0148475,1.37298
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,raw,6,0,0.125436,0.160279,0.104032,0.909043,0.889898,0.0191447,1.45557
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,raw,7,0,0.123942,0.143853,0.0970632,0.888892,0.864353,0.0245397,1.59372
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,raw,8,0,0.0771528,0.132902,0.0662021,0.900309,0.868306,0.0320026,0.926538
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,raw,9,0,0.107018,0.137382,0.0811349,0.891158,0.856912,0.0342468,1.03755
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,raw,10,0,0.131906,0.126929,0.0876058,0.873191,0.834258,0.0389324,1.22076
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,raw,11,0,0.111,0.0950722,0.0662021,0.845359,0.806194,0.0391652,1.22778
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,raw,12,1,0.0557491,0.0438029,0.0233947,0.794223,0.757777,0.0364467,0.897051
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,raw,13,0,0.060229,0.0398208,0.0233947,0.764665,0.727618,0.0370472,1.12798
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,raw,14,0,0.0328522,0.012444,0.0074664,0.691636,0.657545,0.0340906,1.12533
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,raw,15,0,0.0164261,0.00348432,0.00149328,0.630135,0.603481,0.0266535,0.82718
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,raw,16,0,0.00348432,0.00199104,0.00149328,0.618833,0.603668,0.015165,0.31327
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,centered,0,0,0.25784,0.254853,0.202588,0.210797,9.0696e-06,0.210788,2.35786
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,centered,1,0,0.333001,0.325037,0.288203,0.198736,-4.2014e-05,0.198778,2.87394
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,centered,2,0,0.357889,0.33549,0.289696,0.244301,-0.000106497,0.244408,2.88443
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,centered,3,0,0.365356,0.354405,0.296167,0.265795,0.000224862,0.26557,2.87993
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,centered,4,0,0.386262,0.373818,0.313091,0.271569,0.000395576,0.271174,2.94766
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,centered,5,0,0.409159,0.408163,0.346441,0.278126,0.000432551,0.277693,3.08069
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,centered,6,0,0.436038,0.436536,0.369338,0.290032,0.000423097,0.289609,3.16168
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,centered,7,0,0.462419,0.4445,0.380786,0.305728,0.000375949,0.305352,3.14673
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,centered,8,0,0.401692,0.295172,0.234943,0.384971,-0.000229175,0.3852,2.30434
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,centered,9,0,0.428571,0.300149,0.237929,0.373723,-0.000219642,0.373942,2.40936
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,centered,10,0,0.449975,0.313091,0.254355,0.358628,-0.000205457,0.358834,2.54749
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,centered,11,0,0.456944,0.305625,0.25336,0.345684,-0.000173838,0.345858,2.60765
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,centered,12,1,0.419612,0.294674,0.244898,0.323224,-9.09842e-05,0.323315,2.62264
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,centered,13,0,0.417123,0.293678,0.250373,0.29914,3.29683e-05,0.299108,2.75301
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,centered,14,0,0.382778,0.314087,0.261822,0.285364,0.000185562,0.285178,2.91293
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,centered,15,0,0.332504,0.293678,0.230463,0.255815,0.000411849,0.255403,2.80822
ar-fair-15b,unigram_destarved,ar,2009,en-de,en,de,1,0,0,centered,16,0,0.283225,0.292185,0.211548,0.214394,0.000508954,0.213885,2.65987
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,raw,0,0,0.256844,0.178198,0.131906,0.332498,0.166877,0.165621,2.55992
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,raw,1,0,0.337979,0.230961,0.2001,0.525041,0.400644,0.124397,2.89311
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,raw,2,0,0.15331,0.219014,0.129418,0.791175,0.737348,0.0538275,1.72082
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,raw,3,0,0.163265,0.16675,0.108512,0.893271,0.865696,0.027575,1.67708
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,raw,4,0,0.155301,0.132404,0.0950722,0.935659,0.919182,0.0164766,1.64665
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,raw,5,0,0.187656,0.203584,0.133897,0.937006,0.918655,0.018351,1.89035
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,raw,6,0,0.245893,0.22449,0.15779,0.922933,0.898216,0.0247177,2.11061
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,raw,7,0,0.284719,0.241414,0.182678,0.904256,0.87121,0.0330456,2.2847
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,raw,8,0,0.141364,0.327526,0.127924,0.909869,0.869335,0.0405333,1.25398
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,raw,9,0,0.208561,0.436038,0.190144,0.903346,0.856688,0.0466585,1.51849
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,raw,10,0,0.356894,0.5555,0.312096,0.893034,0.833475,0.0595588,2.01674
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,raw,11,0,0.449477,0.540567,0.366351,0.885125,0.821867,0.0632578,2.33226
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,raw,12,1,0.305625,0.399204,0.222499,0.852035,0.789109,0.0629267,2.3339
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,raw,13,0,0.328522,0.315082,0.194126,0.812766,0.740955,0.071811,2.60382
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,raw,14,0,0.273768,0.134395,0.0881035,0.760677,0.69122,0.0694575,2.80445
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,raw,15,0,0.0831259,0.0303634,0.0164261,0.714539,0.660185,0.0543545,2.03403
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,raw,16,0,0.0164261,0.010453,0.00348432,0.731444,0.697308,0.0341358,0.918823
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,centered,0,0,0.368342,0.33549,0.269786,0.263988,-1.46602e-05,0.264003,2.85531
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,centered,1,0,0.55102,0.535092,0.48233,0.281406,-7.68494e-05,0.281483,3.90344
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,centered,2,0,0.576406,0.536088,0.478347,0.311032,-0.000120245,0.311152,3.75012
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,centered,3,0,0.574913,0.549527,0.47337,0.323581,0.000219865,0.323361,3.64804
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,centered,4,0,0.594326,0.575908,0.499253,0.330119,0.000362127,0.329757,3.72317
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,centered,5,0,0.670483,0.662021,0.588352,0.352867,0.000370446,0.352496,3.99996
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,centered,6,0,0.744649,0.743654,0.670483,0.378329,0.000342813,0.377986,4.20119
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,centered,7,0,0.807865,0.801891,0.734196,0.411939,0.000280405,0.411658,4.30828
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,centered,8,0,0.743654,0.692882,0.574913,0.484941,-0.000313321,0.485255,3.19125
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,centered,9,0,0.808362,0.74216,0.649577,0.493381,-0.000304087,0.493685,3.46052
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,centered,10,0,0.864111,0.830762,0.758089,0.508592,-0.000287421,0.50888,3.91197
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,centered,11,0,0.886511,0.852663,0.790443,0.508937,-0.000244105,0.509181,4.13755
ar-fair-15b,unigram_destarved,ar,2009,en-fr,en,fr,1,0,0,centered,12,1,0.883026,0.853161,0.792434,0.498575,-0.000150546,0.498726,4.27062
