model,tok,train_langs,pair,a,b,same_script,trained_pair,n_trained_in_pair,variant,which_layer,layer,top1_a2b,top1_b2a,mutual_nn,cosine_matched,cosine_nonmatched,cosine_margin,dprime,cka
ar-fair-12b,unigram_destarved,ar,en-de,en,de,1,0,0,raw,ref,12,0.0935789,0.0890991,0.0512693,0.85803,0.829865,0.0281649,1.23346,0.645005
ar-fair-12b,unigram_destarved,ar,en-de,en,de,1,0,0,raw,best,1,0.186162,0.152812,0.1334,0.455715,0.370953,0.084762,2.0071,0.282748
ar-fair-12b,unigram_destarved,ar,en-de,en,de,1,0,0,centered,ref,12,0.424589,0.33997,0.281234,0.312575,-4.25821e-05,0.312617,2.82632,0.618186
ar-fair-12b,unigram_destarved,ar,en-de,en,de,1,0,0,centered,best,7,0.454455,0.437033,0.376307,0.290475,0.00026405,0.290211,3.2201,0.531264
ar-fair-12b,unigram_destarved,ar,en-fr,en,fr,1,0,0,raw,ref,12,0.246391,0.454455,0.203584,0.876873,0.829134,0.0477385,2.27437,0.722615
ar-fair-12b,unigram_destarved,ar,en-fr,en,fr,1,0,0,raw,best,11,0.443006,0.564958,0.369338,0.904472,0.856021,0.048451,2.4507,0.734012
ar-fair-12b,unigram_destarved,ar,en-fr,en,fr,1,0,0,centered,ref,12,0.882031,0.868094,0.810851,0.482206,-0.00013354,0.48234,4.49786,0.702467
ar-fair-12b,unigram_destarved,ar,en-fr,en,fr,1,0,0,centered,best,13,0.882031,0.882529,0.830264,0.481693,-9.47253e-05,0.481787,4.72173,0.677147
ar-fair-12b,unigram_destarved,ar,en-ar,en,ar,0,0,1,raw,ref,12,0.948731,0.94674,0.909905,0.893399,0.811727,0.0816725,3.80299,0.771372
ar-fair-12b,unigram_destarved,ar,en-ar,en,ar,0,0,1,raw,best,13,0.94674,0.963664,0.920856,0.879624,0.783026,0.0965981,3.84913,0.77475
ar-fair-12b,unigram_destarved,ar,en-ar,en,ar,0,0,1,centered,ref,12,0.986063,0.980587,0.970632,0.59232,-0.000229829,0.592549,6.35428,0.768759
ar-fair-12b,unigram_destarved,ar,en-ar,en,ar,0,0,1,centered,best,13,0.988054,0.980587,0.973121,0.612756,-0.00019716,0.612954,6.6605,0.773173
ar-fair-12b,unigram_destarved,ar,en-zh,en,zh,0,0,0,raw,ref,12,0.0184171,0.0219014,0.00796416,0.826829,0.808165,0.0186639,0.686613,0.567395
ar-fair-12b,unigram_destarved,ar,en-zh,en,zh,0,0,0,raw,best,0,0.0537581,0.0363365,0.0233947,0.14093,0.07951,0.0614199,1.1589,0.146655
ar-fair-12b,unigram_destarved,ar,en-zh,en,zh,0,0,0,centered,ref,12,0.116974,0.0627178,0.0403186,0.20238,2.12909e-05,0.202358,1.67979,0.54168
ar-fair-12b,unigram_destarved,ar,en-zh,en,zh,0,0,0,centered,best,7,0.114485,0.0930811,0.0676954,0.161861,0.000248692,0.161612,1.70835,0.435319
ar-fair-12b,unigram_destarved,ar,de-fr,de,fr,1,0,0,raw,ref,12,0.0637133,0.100548,0.0447984,0.892811,0.86853,0.0242806,1.29347,0.652557
ar-fair-12b,unigram_destarved,ar,de-fr,de,fr,1,0,0,raw,best,10,0.123942,0.196615,0.0930811,0.920699,0.894162,0.0265367,1.41531,0.681141
ar-fair-12b,unigram_destarved,ar,de-fr,de,fr,1,0,0,centered,ref,12,0.263315,0.322051,0.208561,0.328642,0.000465524,0.328176,2.30348,0.611126
ar-fair-12b,unigram_destarved,ar,de-fr,de,fr,1,0,0,centered,best,7,0.267297,0.292683,0.221005,0.256021,0.000590968,0.25543,2.45053,0.443753
ar-fair-12b,unigram_destarved,ar,de-ar,de,ar,0,0,1,raw,ref,12,0.0358387,0.035341,0.010453,0.802046,0.779951,0.0220947,1.056,0.551217
ar-fair-12b,unigram_destarved,ar,de-ar,de,ar,0,0,1,raw,best,0,0.0383275,0.0423096,0.0253858,0.0606588,0.0188327,0.0418262,0.947472,0.118683
ar-fair-12b,unigram_destarved,ar,de-ar,de,ar,0,0,1,centered,ref,12,0.185665,0.27775,0.13788,0.215869,-8.72738e-05,0.215956,2.24702,0.537284
ar-fair-12b,unigram_destarved,ar,de-ar,de,ar,0,0,1,centered,best,7,0.227974,0.236934,0.152812,0.175652,0.000323264,0.175329,2.42117,0.47155
ar-fair-12b,unigram_destarved,ar,de-zh,de,zh,0,0,0,raw,ref,12,0.0194126,0.0194126,0.00945744,0.907333,0.890654,0.0166787,0.817102,0.549722
ar-fair-12b,unigram_destarved,ar,de-zh,de,zh,0,0,0,raw,best,0,0.0457939,0.0313589,0.0214037,0.253198,0.199081,0.0541174,0.862415,0.129765
ar-fair-12b,unigram_destarved,ar,de-zh,de,zh,0,0,0,centered,ref,12,0.0671976,0.0443006,0.0238925,0.248186,0.000929594,0.247257,1.29913,0.525917
ar-fair-12b,unigram_destarved,ar,de-zh,de,zh,0,0,0,centered,best,0,0.0806371,0.0691887,0.0482827,0.0978125,0.000610129,0.0972024,1.06754,0.121353
ar-fair-12b,unigram_destarved,ar,fr-ar,fr,ar,0,0,1,raw,ref,12,0.176705,0.074664,0.0388253,0.81008,0.769372,0.0407073,2.02151,0.641163
ar-fair-12b,unigram_destarved,ar,fr-ar,fr,ar,0,0,1,raw,best,11,0.27775,0.0900946,0.0537581,0.830844,0.790582,0.0402617,2.10081,0.656881
ar-fair-12b,unigram_destarved,ar,fr-ar,fr,ar,0,0,1,centered,ref,12,0.741165,0.752115,0.629169,0.363616,-0.000151975,0.363767,4.0289,0.632417
ar-fair-12b,unigram_destarved,ar,fr-ar,fr,ar,0,0,1,centered,best,13,0.772026,0.739671,0.656546,0.37069,-9.98396e-05,0.370789,4.29597,0.602346
ar-fair-12b,unigram_destarved,ar,fr-zh,fr,zh,0,0,0,raw,ref,12,0.0109507,0.0184171,0.0049776,0.872192,0.855224,0.0169682,0.847145,0.534348
ar-fair-12b,unigram_destarved,ar,fr-zh,fr,zh,0,0,0,raw,best,0,0.0358387,0.0293678,0.0164261,0.211176,0.163855,0.047321,0.830893,0.116949
ar-fair-12b,unigram_destarved,ar,fr-zh,fr,zh,0,0,0,centered,ref,12,0.085117,0.0408163,0.022897,0.225908,0.000428618,0.225479,1.4929,0.503211
ar-fair-12b,unigram_destarved,ar,fr-zh,fr,zh,0,0,0,centered,best,0,0.0716775,0.0632155,0.0452962,0.088839,0.000228204,0.0886108,1.04735,0.112157
ar-fair-12b,unigram_destarved,ar,ar-zh,ar,zh,0,0,1,raw,ref,12,0.0099552,0.0164261,0.00398208,0.783499,0.766937,0.016562,0.424948,0.533193
ar-fair-12b,unigram_destarved,ar,ar-zh,ar,zh,0,0,1,raw,best,0,0.0283723,0.00945744,0.00696864,0.0550406,0.0280314,0.0270091,0.695747,0.112356
ar-fair-12b,unigram_destarved,ar,ar-zh,ar,zh,0,0,1,centered,ref,12,0.0771528,0.0328522,0.0189149,0.159169,-1.97121e-05,0.159189,1.54601,0.514547
ar-fair-12b,unigram_destarved,ar,ar-zh,ar,zh,0,0,1,centered,best,7,0.074664,0.0527626,0.026879,0.123865,0.000278043,0.123587,1.51933,0.452145
ar-fair-15b,unigram_destarved,ar,en-de,en,de,1,0,0,raw,ref,12,0.0557491,0.0438029,0.0233947,0.794223,0.757777,0.0364467,0.897051,0.665068
ar-fair-15b,unigram_destarved,ar,en-de,en,de,1,0,0,raw,best,1,0.2001,0.143355,0.12892,0.45145,0.363751,0.087699,2.01252,0.277826
ar-fair-15b,unigram_destarved,ar,en-de,en,de,1,0,0,centered,ref,12,0.419612,0.294674,0.244898,0.323224,-9.09842e-05,0.323315,2.62264,0.640949
ar-fair-15b,unigram_destarved,ar,en-de,en,de,1,0,0,centered,best,7,0.462419,0.4445,0.380786,0.305728,0.000375949,0.305352,3.14673,0.574507
ar-fair-15b,unigram_destarved,ar,en-fr,en,fr,1,0,0,raw,ref,12,0.305625,0.399204,0.222499,0.852035,0.789109,0.0629267,2.3339,0.738482
