run,step,tokens,metric,value
ar__unigram_starved,273,250478592.0,eval/flores_ar_bpb,1.269833375036359
ar__unigram_starved,273,250478592.0,eval/holdout_ar_bpb,1.2353830229416536
ar__unigram_starved,546,500957184.0,eval/flores_ar_bpb,1.1176220296839066
ar__unigram_starved,546,500957184.0,eval/holdout_ar_bpb,1.0520471307286858
ar__unigram_starved,819,751435776.0,eval/flores_ar_bpb,1.0201278402839244
ar__unigram_starved,819,751435776.0,eval/holdout_ar_bpb,0.9764788152612478
ar__unigram_starved,1092,1001914368.0,eval/flores_ar_bpb,1.0118868080518353
ar__unigram_starved,1092,1001914368.0,eval/holdout_ar_bpb,0.9625752301744027
ar__unigram_starved,1365,1252392960.0,eval/flores_ar_bpb,0.9769363241479679
ar__unigram_starved,1365,1252392960.0,eval/holdout_ar_bpb,0.9249597081420375
ar__unigram_starved,1638,1502871552.0,eval/flores_ar_bpb,0.9569685442634055
ar__unigram_starved,1638,1502871552.0,eval/holdout_ar_bpb,0.8930267566821501
ar__unigram_starved,1911,1753350144.0,eval/flores_ar_bpb,0.930902158071619
ar__unigram_starved,1911,1753350144.0,eval/holdout_ar_bpb,0.8638292513810898
ar__unigram_starved,2456,2253389824.0,eval/flores_ar_bpb,0.9189073641395177
ar__unigram_starved,2456,2253389824.0,eval/holdout_ar_bpb,0.8354223639432105
ar__unigram_starved,3001,2753429504.0,eval/flores_ar_bpb,0.8987214556104816
ar__unigram_starved,3001,2753429504.0,eval/holdout_ar_bpb,0.8168253937252844
ar__unigram_starved,3546,3253469184.0,eval/flores_ar_bpb,0.8874550505282109
ar__unigram_starved,3546,3253469184.0,eval/holdout_ar_bpb,0.80293417517676
ar__unigram_starved,4091,3753508864.0,eval/flores_ar_bpb,0.8803715198974844
ar__unigram_starved,4091,3753508864.0,eval/holdout_ar_bpb,0.7943006234145354
ar__unigram_starved,4636,4253548544.0,eval/flores_ar_bpb,0.8856470850923528
ar__unigram_starved,4636,4253548544.0,eval/holdout_ar_bpb,0.7875875685220192
ar__unigram_starved,5181,4753588224.0,eval/flores_ar_bpb,0.8707774532591701
