run,name,wandb_id,leg,step,tokens,metric,value
ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,,239,250609664.0,eval/flores_ar_bpb,1.3089702272523858
ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,,239,250609664.0,eval/flores_en_bpb,1.8432623389691816
ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,,239,250609664.0,eval/holdout_ar_bpb,1.2898187144085778
ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,,239,250609664.0,eval/holdout_en_bpb,1.730814100725571
ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,,478,501219328.0,eval/flores_ar_bpb,1.1849487439577695
ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,,478,501219328.0,eval/flores_en_bpb,1.6299439328884202
ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,,478,501219328.0,eval/holdout_ar_bpb,1.1494550395472003
ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,,478,501219328.0,eval/holdout_en_bpb,1.4922241704335601
ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,,717,751828992.0,eval/flores_ar_bpb,1.0798298796706813
ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,,717,751828992.0,eval/flores_en_bpb,1.4731424113271965
ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,ctrl-scratch__en-ar__unigram_starved,,717,751828992.0,eval/holdout_ar_bpb,1.028720344492042
